# Train        Test        
  231.278191    66.845657 
  219.339915   106.919952 
  189.755743   101.185699 
  209.724781    86.554726 
  201.791019   104.179230 
  150.082465   101.435173 
  158.735784    92.543839 
  173.143316   101.315346 
  129.556293   107.316025 
  160.458190   108.531876 
  288.029178    82.933044 
  213.544170    77.940689 
  141.956359    74.163933 
  138.794800    98.729507 
  262.862386    86.571648 
  165.829435    76.466690 
  142.991648    81.808502 
  206.041151   107.431000 
  249.341161    85.316444 
  175.768112    92.912811 
  213.880977    70.537766 
  287.100466    81.885887 
  163.902703   103.145905 
  142.803822    73.680420 
  195.436000    62.203449 
  197.414603    68.921822 
  283.204882    60.070236 
  238.135838    53.944611 
  166.233927    67.254875 
  191.740341    77.710381 
  185.516429    84.847641 
  174.492481    68.625137 
  167.201642    69.376587 
  195.715508    84.494881 
  171.857636    73.599037 
  151.489057    57.990044 
  166.025639    44.602169 
  195.061397    58.415840 
  119.997206    68.640930 
  109.168431    66.558861 
  278.557786    76.566093 
  147.153035    54.133949 
  282.291779    51.911404 
  154.299587    78.796883 
  234.140030    42.190659 
  221.112475    55.416378 
  196.569258    58.728725 
  237.184608    55.161350 
  298.788845    45.611794 
  143.097490    63.362377 
  205.132888    73.579506 
  155.160360    69.151108 
  161.845352    75.507095 
  149.028382    61.317696 
  137.613931    63.270714 
  161.426474    74.989410 
  117.675967    60.516369 
  192.635843    82.077156 
  215.432180    74.541939 
  178.056262    68.589317 
  237.630063    63.425678 
  183.962973    62.544884 
  211.045389    60.715755 
  126.178637    67.889221 
  126.930819    52.656792 
  246.732949    67.066505 
  211.077193    59.050995 
  150.248754    43.848377 
  156.034400    45.072765 
  209.350286    41.301456 
  225.919905    57.101391 
  103.882823    63.550941 
  137.639540    54.761066 
  128.702293    54.604763 
  204.098249    48.078419 
  128.513513    47.077747 
  130.928436    58.831135 
  129.039319    76.650002 
  327.661860    64.672096 
  139.578241    57.148125 
  104.402380    64.260666 
  193.248077    70.362541 
  237.037786    58.216591 
  225.021045    65.382980 
  265.497941    67.717117 
  215.567018    44.932926 
  194.785097    54.098400 
  201.644187    47.165253 
  137.591992    45.474667 
  234.482938    42.926682 
  113.867015    44.306068 
  133.975029    60.043892 
  164.006850    70.256714 
  103.152641    55.087482 
  125.053894    62.124306 
  228.646065    67.095848 
  132.795071    72.906128 
  111.432261    72.449722 
  129.466736    66.295189 
  114.067344    57.778149 
  129.264095    77.649620 
  141.716613    81.024040 
  127.683806    64.299637 
  172.231332    84.405586 
